trip_id,taxi_id,pickup_time,dropoff_time,seconds,miles,pickup_census,dropoff_census,pickup_area,dropoff_area,fare,tips,tolls,extras,total,payment,company,pickup_latitude,pickup_longitude,pickup_centroid,dropoff_latitude,dropoff_longitude,dropoff_centroid,pickup_region,dropoff_region,AbsDistance,RRSL,AbsVelocity,AclVelocity,RRVV,AbsTime,RRST,pickup_hr,weekday
325375,2081,2013-04-05 21:15:00,2013-04-05 21:30:00,900.0,0.0,17031839100,17031241500,32.0,24.0,10.45,0.0,0.0,0.0,10.45,Cash,Northwest Management LLC,41.880994471,-87.632746489,"(41.880994, -87.632746)",41.908378669,-87.670945075,"(41.908379, -87.670945)",Central,West Side,2.729859622212731,0.0,10.919438488850924,0.0,0.0,900.0,1.0,6,5
325384,692,2013-05-12 05:15:00,2013-05-12 05:45:00,1500.0,14.4,0,0,6.0,76.0,35.25,0.0,0.0,2.0,37.25,Cash,,41.944226601,-87.655998182,"(41.944227, -87.655998)",41.980264315,-87.913624596,"(41.980264, -87.913625)",North Side,Far North Side,13.501805688847748,1.0665240140357037,32.404333653234595,34.56,1.0665240140357037,1500.0,1.0,1,7
347107,1172,2013-12-26 10:30:00,2013-12-26 10:30:00,720.0,7.0,0,0,3.0,32.0,16.05,0.0,0.0,0.0,16.05,Cash,,41.96581197,-87.655878786,"(41.965812, -87.655879)",41.878865584,-87.625192142,"(41.878866, -87.625192)",Far North Side,Central,6.205695184645661,1.1279961054677057,31.028475923228303,35.0,1.1279961054677057,720.0,1.0,3,4
356731,2769,2013-05-09 23:30:00,2013-05-09 23:30:00,60.0,0.0,0,0,3.0,3.0,3.65,0.0,0.0,0.0,3.65,Cash,Taxi Affiliation Services,41.96581197,-87.655878786,"(41.965812, -87.655879)",41.96581197,-87.655878786,"(41.965812, -87.655879)",Far North Side,Far North Side,0.0,,0.0,0.0,,,,7,4
371678,1953,2013-11-26 02:15:00,2013-11-26 02:30:00,240.0,0.09,0,0,22.0,24.0,5.05,0.0,0.0,0.0,5.05,Cash,,41.92276062,-87.69915534299999,"(41.922761, -87.699155)",41.901206994,-87.676355989,"(41.901207, -87.676356)",North Side,West Side,1.8958687454562184,0.04747164075345446,28.438031181843275,1.3499999999999999,0.04747164075345446,240.0,1.0,0,2
389362,1915,2013-09-01 15:30:00,2013-09-01 15:45:00,600.0,1.1,17031081300,17031320100,8.0,32.0,7.25,0.0,0.0,2.0,9.25,Cash,,41.898331794,-87.620762865,"(41.898332, -87.620763)",41.884987192,-87.620992913,"(41.884987, -87.620993)",Central,Central,0.9211006472788404,1.1942234578269733,5.526603883673043,6.6000000000000005,1.1942234578269733,600.0,1.0,4,7
459402,2188,2013-09-23 09:15:00,2013-09-23 10:15:00,3120.0,0.0,0,0,,,36.65,7.33,0.0,0.0,43.98,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,"(0, 0)",,,"(0, 0)",None,None,0.0,,0.0,0.0,,,,2,1
492174,1983,2013-08-05 17:45:00,2013-08-05 18:00:00,300.0,0.0,17031839100,17031081700,32.0,8.0,5.25,2.0,0.0,0.0,7.25,Credit Card,Taxi Affiliation Services,41.880994471,-87.632746489,"(41.880994, -87.632746)",41.892042136,-87.63186395,"(41.892042, -87.631864)",Central,Central,0.7638484190749598,0.0,9.16618102889952,0.0,0.0,299.99999999999994,0.9999999999999998,5,1
503904,1677,2013-10-27 08:00:00,2013-10-27 08:30:00,1560.0,1.0,0,0,6.0,56.0,35.05,5.0,0.0,2.0,42.05,Credit Card,Taxi Affiliation Services,41.944226601,-87.655998182,"(41.944227, -87.655998)",41.79259236,-87.76961545299999,"(41.792592, -87.769615)",North Side,Southwest Side,11.99478574236365,0.08336955919672338,27.680274790069962,2.3076923076923075,0.08336955919672338,1560.0,1.0,2,7
530692,520,2013-12-16 07:30:00,2013-12-16 07:30:00,300.0,1.1,0,0,,,5.85,0.0,0.0,0.0,5.85,Cash,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,13.200000000000001,inf,,,2,1
552718,2878,2013-12-29 17:00:00,2013-12-29 17:00:00,,0.0,0,0,,,6.85,1.37,0.0,0.0,8.22,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,"(0, 0)",,,"(0, 0)",None,None,0.0,,,,,,,5,7
572933,2347,2013-03-08 23:15:00,2013-03-08 23:15:00,240.0,1.1,17031833000,17031281900,28.0,28.0,5.45,0.0,0.0,1.0,6.45,Cash,,41.88528132,-87.65723320000002,"(41.885281, -87.657233)",41.879255084,-87.642648998,"(41.879255, -87.642649)",West Side,West Side,0.8595026166289103,1.2798099490544361,12.892539249433653,16.5,1.279809949054436,240.0,1.0,7,5
578118,519,2013-04-07 06:45:00,2013-04-07 07:00:00,540.0,2.2,17031241600,17031081500,24.0,8.0,8.25,0.0,0.0,0.0,8.25,Cash,Northwest Management LLC,41.906650766,-87.66533766,"(41.906651, -87.665338)",41.892507781,-87.626214906,"(41.892508, -87.626215)",West Side,Central,2.2410045012281246,0.9817026243340194,14.940030008187497,14.666666666666668,0.9817026243340194,540.0,1.0,1,7
645944,1532,2013-01-21 22:15:00,2013-01-21 22:15:00,660.0,0.0,17031081700,17031071400,8.0,7.0,7.85,0.0,0.0,0.0,7.85,Cash,Taxi Affiliation Services,41.892042136,-87.63186395,"(41.892042, -87.631864)",41.922082541,-87.63415609299999,"(41.922083, -87.634156)",Central,North Side,2.0766928246392595,0.0,11.327415407123235,0.0,0.0,660.0,1.0,7,1
654454,775,2013-05-22 12:30:00,2013-05-22 12:30:00,180.0,0.5,17031081600,17031081403,8.0,8.0,4.65,0.0,0.0,1.0,5.65,Cash,,41.892072635,-87.62887415700001,"(41.892073, -87.628874)",41.890922026,-87.618868355,"(41.890922, -87.618868)",Central,Central,0.5220727774043072,0.9577208803836682,10.441455548086145,10.0,0.9577208803836682,180.0,1.0,3,3
695402,2431,2013-01-08 21:30:00,2013-01-08 21:45:00,1200.0,0.0,17031980100,17031320400,56.0,32.0,26.25,0.0,0.0,2.0,28.25,Cash,Taxi Affiliation Services,41.785998518,-87.750934289,"(41.785999, -87.750934)",41.877406123,-87.62197165200001,"(41.877406, -87.621972)",Southwest Side,Central,9.171001266021282,0.0,27.513003798063846,0.0,0.0,1200.0,1.0,6,2
716969,1880,2013-11-01 01:45:00,2013-11-01 02:00:00,180.0,0.0,17031081700,17031081800,8.0,8.0,4.65,0.61,0.0,1.5,6.76,Credit Card,Blue Ribbon Taxi Association Inc.,41.892042136,-87.63186395,"(41.892042, -87.631864)",41.89321636,-87.63784421,"(41.893216, -87.637844)",Central,Central,0.3188408929599365,0.0,6.37681785919873,0.0,0.0,180.0,1.0,0,5
719990,1568,2013-01-31 22:00:00,2013-01-31 22:30:00,1140.0,5.7,17031081700,17031060400,8.0,6.0,15.05,0.0,0.0,1.0,16.05,Cash,,41.892042136,-87.63186395,"(41.892042, -87.631864)",41.950673358,-87.666536281,"(41.950673, -87.666536)",Central,North Side,4.423601309821998,1.2885428863907638,13.969267294174731,18.0,1.2885428863907635,1140.0,1.0,7,4
775348,969,2013-11-21 18:45:00,2013-11-21 19:00:00,1260.0,2.6,0,0,2.0,4.0,12.25,0.0,0.0,0.0,12.25,Cash,,42.001571027,-87.695012589,"(42.001571, -87.695013)",41.975170943,-87.687515515,"(41.975171, -87.687516)",Far North Side,Far North Side,1.8625074028657553,1.395967605819713,5.321449722473587,7.42857142857143,1.395967605819713,1260.0,1.0,5,4
775799,1930,2013-11-14 12:45:00,2013-11-14 13:15:00,1680.0,17.7,17031980000,17031839100,76.0,32.0,35.85,7.57,0.0,2.0,45.42,Credit Card,,41.97907082,-87.90303966100002,"(41.979071, -87.90304)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Far North Side,Central,15.487761251868172,1.1428378648247164,33.18805982543179,37.92857142857142,1.1428378648247164,1680.0000000000002,1.0000000000000002,3,4
785293,2938,2013-04-22 17:00:00,2013-04-22 17:15:00,540.0,1.09,0,0,,,7.05,0.0,0.0,0.0,7.05,Cash,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,7.2666666666666675,inf,,,5,1
795045,860,2013-05-24 01:30:00,2013-05-24 01:45:00,960.0,12.2,0,0,,,28.25,0.0,0.0,3.0,31.25,Cash,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,45.75,inf,,,0,5
810170,2574,2013-11-22 18:45:00,2013-11-22 19:15:00,1080.0,0.0,17031320100,17031071300,32.0,7.0,12.45,0.0,0.0,0.0,12.45,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,"(41.884987, -87.620993)",41.921778356,-87.641459759,"(41.921778, -87.64146)",Central,North Side,2.7497351949820663,0.0,9.165783983273554,0.0,0.0,1080.0,1.0,5,5
819077,227,2013-03-26 09:15:00,2013-03-26 09:30:00,1140.0,0.0,0,0,77.0,,13.85,0.0,0.0,0.0,13.85,Cash,Taxi Affiliation Services,41.9867118,-87.663416405,"(41.986712, -87.663416)",,,"(0, 0)",Far North Side,None,6100.409292916893,0.0,19264.450398684927,0.0,0.0,1140.0,1.0,2,2
824333,2223,2013-11-28 07:30:00,2013-11-28 07:45:00,1200.0,0.0,0,0,22.0,56.0,28.25,0.0,0.0,2.0,30.25,Cash,Taxi Affiliation Services,41.92276062,-87.69915534299999,"(41.922761, -87.699155)",41.79259236,-87.76961545299999,"(41.792592, -87.769615)",North Side,Southwest Side,9.691440596421266,0.0,29.0743217892638,0.0,0.0,1200.0,1.0,2,4
908313,854,2013-10-07 18:45:00,2013-10-07 19:15:00,1020.0,3.7,0,0,28.0,7.0,12.05,0.0,0.0,0.0,12.05,Cash,,41.874005383000004,-87.66351755,"(41.874005, -87.663518)",41.922686284,-87.649488729,"(41.922686, -87.649489)",West Side,North Side,3.436783547160778,1.0765880216857626,12.129824284096864,13.058823529411766,1.0765880216857626,1020.0,1.0,5,1
914072,1043,2013-12-11 11:45:00,2013-12-11 11:45:00,420.0,0.0,17031081500,17031839100,8.0,32.0,6.45,0.0,0.0,1.0,7.45,Cash,Taxi Affiliation Services,41.892507781,-87.626214906,"(41.892508, -87.626215)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Central,Central,0.8630888907790754,0.0,7.39790477810636,0.0,0.0,420.0,1.0,3,3
959853,1088,2013-04-08 00:45:00,2013-04-08 01:00:00,480.0,0.0,0,0,8.0,24.0,7.85,0.0,0.0,0.0,7.85,Cash,Dispatch Taxi Affiliation,41.899602111,-87.633308037,"(41.899602, -87.633308)",41.901206994,-87.676355989,"(41.901207, -87.676356)",Central,West Side,2.222372075983416,0.0,16.66779056987562,0.0,0.0,480.0,1.0,7,1
